County,x,y
Cork,-127,-281
Galway,-123,-5
Mayo,-182,97
Donegal,-29,312
Kerry,-223,-254
Tipperary,-17,-162
Claire,-161,-109
Tyrone,78,254
Antrim,201,310
Limerick,-129,-182
Roscommon,-75,84
Down,236,203
Wexford,150,-190
Meath,138,46
Derry,147,335
Kilkenny,62,-174
Wicklow,178,-79
Offaly,7,-35
Cavan,57,113
Waterford,12,-257
Westmeath,43,22
Sligo,-107,152
Laois,51,-83
Kildare,121,-42
Fermanagh,17,197
Leitrim,-48,185
Armagh,157,185
Monaghan,90,154
Longford,1,59
Dublin,188,-5
Carlow,100,-139
Louth,154,106

